ID,newlyConst,balcony,totalRent,yearConstructed,noParkSpaces,hasKitchen,livingSpace,lift,typeOfFlat,floor,garden,regio2,condition,lastRefurbish,energyEfficiencyClass
59,FALSE,FALSE,450,1952,NA,TRUE,54,FALSE,roof_storey,3,FALSE,Recklinghausen_Kreis,average,Over5Years,NO_INFORMATION
60,FALSE,TRUE,1190,1910,NA,TRUE,111,FALSE,other,2,FALSE,Mönchengladbach,average,NO_INFORMATION,NO_INFORMATION
61,FALSE,FALSE,464.48,1954,NA,FALSE,52.7,FALSE,apartment,2,FALSE,Herne,good,NO_INFORMATION,NO_INFORMATION
62,FALSE,TRUE,566.5,1972,NA,FALSE,60.75,TRUE,apartment,3,FALSE,Recklinghausen_Kreis,NO_INFORMATION,NO_INFORMATION,NO_INFORMATION
63,FALSE,TRUE,1800,2016,NA,FALSE,146,TRUE,apartment,1,FALSE,Wuppertal,good,NO_INFORMATION,NO_INFORMATION
64,FALSE,TRUE,725,1920,1,FALSE,79,FALSE,apartment,1,TRUE,Wuppertal,average,Last5Years,NO_INFORMATION
65,FALSE,TRUE,NA,1995,1,FALSE,76.55,FALSE,apartment,1,FALSE,Rhein_Erft_Kreis,NO_INFORMATION,NO_INFORMATION,NO_INFORMATION
66,TRUE,FALSE,882.68,2020,1,FALSE,81.73,TRUE,apartment,2,FALSE,Unna_Kreis,good,NO_INFORMATION,NO_INFORMATION
67,TRUE,TRUE,960,2019,1,FALSE,63,TRUE,ground_floor,1,TRUE,Rhein_Sieg_Kreis,good,Last5Years,NO_INFORMATION
68,FALSE,TRUE,NA,1982,NA,FALSE,64,FALSE,apartment,1,FALSE,Lippe_Kreis,NO_INFORMATION,NO_INFORMATION,D/E/F/G/H
69,FALSE,TRUE,NA,1966,NA,FALSE,74,FALSE,apartment,3,TRUE,Minden_Lübbecke_Kreis,average,Over5Years,NO_INFORMATION
70,FALSE,TRUE,448.25,1992,NA,FALSE,78,FALSE,apartment,2,FALSE,Recklinghausen_Kreis,average,NO_INFORMATION,NO_INFORMATION
71,FALSE,TRUE,660,1958,0,FALSE,65.7,TRUE,roof_storey,6,FALSE,Mülheim_an_der_Ruhr,average,NO_INFORMATION,D/E/F/G/H
72,FALSE,TRUE,NA,1973,NA,FALSE,75.05,FALSE,apartment,1,FALSE,Wuppertal,NO_INFORMATION,NO_INFORMATION,D/E/F/G/H
73,FALSE,TRUE,990,1959,NA,FALSE,89,FALSE,apartment,1,FALSE,Krefeld,NO_INFORMATION,Last5Years,NO_INFORMATION
74,FALSE,FALSE,695,1960,NA,FALSE,58,FALSE,apartment,1,FALSE,Aachen,good,Last5Years,NO_INFORMATION
